TransactionAmount,AccountBalance,LoginAttempts,Location,Channel,Cluster
154.71,1523.7200000000003,1.0,San Diego,Online,Fraud
1340.19,8654.28,1.0,Austin,Online,Normal
24.560000000000002,9869.93,1.0,Mesa,Branch,Suspicious
568.07,10556.81,1.0,Washington,ATM,Fraud
9.610000000000014,12883.91,1.0,San Diego,Online,Fraud
392.96,791.6499999999996,1.0,Kansas City,Online,Suspicious
716.93,4064.02,1.0,Milwaukee,Online,Suspicious
223.85,2929.91,4.0,Kansas City,ATM,Suspicious
230.66,618.0500000000002,1.0,Houston,Branch,Suspicious
442.12,1375.8000000000002,1.0,Los Angeles,Online,Suspicious
644.17,1143.52,1.0,San Antonio,ATM,Fraud
508.68,7708.41,1.0,Mesa,Branch,Suspicious
858.6300000000001,1872.96,1.0,San Francisco,Branch,Fraud
25.360000000000014,201.03999999999996,1.0,Louisville,ATM,Suspicious
147.62,2115.8,1.0,Charlotte,Branch,Normal
115.01999999999998,7643.66,1.0,San Antonio,Branch,Fraud
383.37,8901.93,1.0,Fort Worth,Branch,Normal
98.54000000000002,9383.43,1.0,El Paso,Online,Normal
83.24000000000001,1181.31,1.0,Fort Worth,Branch,Normal
196.16,9418.86,1.0,Virginia Beach,Branch,Fraud
129.94,7954.92,1.0,Las Vegas,ATM,Suspicious
306.9,9418.08,1.0,Colorado Springs,Online,Normal
114.98000000000002,6144.68,1.0,Seattle,Online,Fraud
756.59,420.64999999999964,1.0,Sacramento,Branch,Fraud
503.76,447.8199999999997,1.0,Los Angeles,Online,Suspicious
143.03,7981.45,1.0,San Antonio,ATM,Fraud
1045.22,1829.9,1.0,Columbus,ATM,Normal
245.54,985.0599999999995,1.0,New York,ATM,Suspicious
254.37,8849.26,1.0,Dallas,Online,Normal
213.76,3528.72,1.0,Dallas,ATM,Normal
327.86,480.15999999999985,1.0,Fresno,Online,Normal
2.5,12145.27,1.0,San Diego,Online,Fraud
300.08,13546.75,1.0,Austin,Online,Normal
56.97999999999999,5688.37,2.0,Oklahoma City,ATM,Suspicious
407.65,8346.64,1.0,Boston,Online,Normal
115.82999999999996,6481.04,1.0,Fresno,Branch,Normal
53.56999999999999,1651.33,1.0,Houston,ATM,Suspicious
63.34,11174.94,1.0,Detroit,Online,Normal
317.87,145.5,1.0,Detroit,Online,Normal
331.65,4172.57,1.0,Portland,Online,Fraud
5.0400000000000205,5558.36,1.0,Washington,ATM,Fraud
214.54,11151.53,1.0,Detroit,Online,Normal
598.81,1415.52,1.0,Philadelphia,Branch,Fraud
841.28,1103.6400000000008,1.0,Tucson,Online,Fraud
38.14999999999998,303.6800000000003,1.0,Mesa,Online,Suspicious
1036.66,5541.57,1.0,San Antonio,Branch,Fraud
124.72,6309.8,1.0,Oklahoma City,Branch,Suspicious
302.45,5133.61,1.0,San Antonio,Branch,Fraud
208.04,9344.98,1.0,Louisville,Online,Suspicious
5.769999999999982,1117.9700000000003,1.0,Los Angeles,Branch,Suspicious
381.33,11835.35,1.0,Albuquerque,ATM,Normal
16.160000000000025,14401.17,1.0,Milwaukee,ATM,Suspicious
486.08,1748.69,1.0,Oklahoma City,Online,Suspicious
336.39,1000.46,1.0,San Antonio,Branch,Fraud
997.4300000000001,6810.05,1.0,Seattle,Online,Fraud
234.57,263.97999999999956,1.0,Chicago,Online,Normal
6.0,5442.76,1.0,Chicago,Online,Normal
1049.92,2037.85,1.0,Detroit,ATM,Normal
227.14,341.9399999999996,1.0,Charlotte,ATM,Normal
233.74,1066.5900000000001,1.0,Oklahoma City,Online,Suspicious
113.01999999999998,6077.96,1.0,Jacksonville,Branch,Suspicious
45.849999999999994,1659.15,1.0,Los Angeles,ATM,Suspicious
973.3900000000001,2042.2200000000003,1.0,Sacramento,Branch,Fraud
514.95,421.9300000000003,5.0,New York,Online,Suspicious
415.5,10113.66,1.0,Memphis,ATM,Suspicious
265.76,4446.17,1.0,Philadelphia,Online,Fraud
69.4,6452.77,1.0,Virginia Beach,Online,Fraud
332.93,2788.2,1.0,Albuquerque,Branch,Normal
267.9,596.1599999999999,1.0,San Antonio,Online,Fraud
496.03,12904.66,1.0,San Francisco,Branch,Fraud
376.26,9062.4,1.0,Tucson,ATM,Fraud
83.01999999999998,9009.56,1.0,Seattle,Online,Fraud
93.25999999999999,1152.1999999999998,1.0,New York,Online,Suspicious
803.37,12168.37,1.0,Memphis,Branch,Suspicious
35.75999999999999,611.8599999999997,1.0,Charlotte,Branch,Normal
28.53000000000003,8670.53,1.0,Washington,Online,Fraud
139.53,10098.86,1.0,Louisville,Online,Suspicious
307.57,5307.74,1.0,Detroit,Branch,Normal
60.650000000000006,1047.2799999999993,1.0,Tucson,Branch,Fraud
74.86000000000001,6921.48,1.0,Nashville,Branch,Suspicious
117.97,1475.46,1.0,Kansas City,Branch,Suspicious
231.91,112.76000000000022,1.0,Memphis,ATM,Suspicious
126.20999999999998,5669.66,1.0,Baltimore,Branch,Normal
506.28,1309.9499999999998,2.0,Chicago,Online,Normal
304.35,4057.1,1.0,Houston,Branch,Suspicious
281.85,1585.98,1.0,Detroit,ATM,Normal
777.88,6825.55,1.0,Houston,Branch,Suspicious
119.18,5516.5,1.0,Los Angeles,Branch,Suspicious
177.19,5343.3,1.0,Chicago,Online,Normal
260.88,903.0500000000002,1.0,Denver,Branch,Normal
169.47,1806.1599999999999,1.0,Chicago,Online,Normal
73.23000000000002,787.7399999999998,1.0,Portland,Branch,Fraud
1362.55,2429.68,1.0,El Paso,ATM,Normal
792.57,770.3699999999999,1.0,Baltimore,ATM,Normal
237.06,1182.7700000000004,1.0,Phoenix,Online,Fraud
34.170000000000016,726.5500000000002,1.0,Philadelphia,Online,Fraud
740.25,14464.3,1.0,Philadelphia,Online,Fraud
453.54,12046.3,1.0,Albuquerque,ATM,Normal
300.47,7885.64,1.0,Jacksonville,Branch,Suspicious
110.92999999999998,1952.35,1.0,Virginia Beach,Branch,Fraud
201.69,7328.52,1.0,Las Vegas,ATM,Suspicious
399.21,3210.39,1.0,Portland,ATM,Fraud
1041.88,5726.2,1.0,Jacksonville,Online,Suspicious
630.36,1363.65,1.0,Mesa,ATM,Suspicious
10.939999999999998,1241.9899999999998,1.0,Philadelphia,ATM,Fraud
215.9,7873.28,1.0,Los Angeles,ATM,Suspicious
1422.55,5674.32,1.0,Washington,Branch,Fraud
226.37,9840.04,1.0,Louisville,Branch,Suspicious
444.89,10328.23,1.0,Las Vegas,Branch,Suspicious
280.57,293.2399999999998,1.0,Virginia Beach,Online,Fraud
488.54,7486.63,1.0,Jacksonville,Branch,Suspicious
3.3000000000000114,11385.37,1.0,Los Angeles,Branch,Suspicious
199.39,7264.79,1.0,Colorado Springs,Branch,Normal
20.360000000000014,2762.48,1.0,Tucson,Branch,Fraud
113.63999999999999,6675.03,1.0,Detroit,Online,Normal
493.11,7432.99,1.0,Colorado Springs,Branch,Normal
307.41,1057.0000000000005,1.0,Los Angeles,ATM,Suspicious
11.180000000000007,5956.89,1.0,Atlanta,Online,Normal
313.82,7261.59,1.0,Tucson,Branch,Fraud
51.0,4943.16,1.0,Seattle,Branch,Fraud
140.98,8127.48,1.0,Memphis,Branch,Suspicious
288.04,1748.02,1.0,Denver,ATM,Normal
800.55,9660.22,1.0,Oklahoma City,ATM,Suspicious
485.54,6371.51,1.0,Houston,ATM,Suspicious
521.15,9442.47,1.0,Kansas City,ATM,Suspicious
321.79,5959.2,1.0,Raleigh,ATM,Fraud
304.93,13531.22,1.0,Portland,ATM,Fraud
432.08,11500.62,1.0,El Paso,ATM,Normal
694.2,1389.37,1.0,Milwaukee,ATM,Suspicious
116.86000000000001,6706.56,1.0,Louisville,ATM,Suspicious
386.81,7175.29,1.0,Detroit,Online,Normal
74.88,420.6700000000001,1.0,Atlanta,ATM,Normal
195.76,7323.53,1.0,Philadelphia,Branch,Fraud
134.7,8395.85,1.0,Fort Worth,ATM,Normal
890.24,5140.93,1.0,Las Vegas,Online,Suspicious
361.27,7945.57,1.0,Omaha,ATM,Fraud
131.56,5873.54,1.0,Charlotte,Branch,Normal
485.51,3074.45,1.0,Milwaukee,Online,Suspicious
547.87,6155.76,1.0,Columbus,ATM,Normal
457.29999999999995,8318.29,1.0,Virginia Beach,Online,Fraud
506.24,230.09000000000015,1.0,Chicago,ATM,Normal
486.59,2513.56,1.0,Indianapolis,Branch,Suspicious
163.68,10090.05,1.0,San Diego,Branch,Fraud
581.65,480.1899999999996,1.0,Boston,ATM,Normal
52.00999999999999,1120.88,1.0,Mesa,ATM,Suspicious
630.24,370.8100000000004,1.0,Boston,ATM,Normal
523.74,13498.55,1.0,Oklahoma City,ATM,Suspicious
705.6,14804.7,3.0,Phoenix,Branch,Fraud
217.5,3057.4,1.0,Denver,Branch,Normal
91.48000000000002,14942.78,1.0,Fort Worth,ATM,Normal
5.25,14143.32,1.0,San Jose,ATM,Fraud
54.03,6736.3,1.0,Milwaukee,ATM,Suspicious
736.73,3313.07,1.0,Memphis,Branch,Suspicious
368.91,829.71,1.0,Virginia Beach,Branch,Fraud
33.06,1540.87,1.0,Fort Worth,Online,Normal
66.5,6820.23,1.0,Louisville,Online,Suspicious
177.08,13475.14,1.0,Las Vegas,Online,Suspicious
588.54,714.4499999999998,1.0,Portland,Branch,Fraud
173.5,1306.9099999999999,1.0,Nashville,ATM,Suspicious
78.32999999999996,7255.33,1.0,Memphis,Online,Suspicious
40.660000000000025,1153.8400000000006,1.0,Louisville,Branch,Suspicious
97.22,6647.73,1.0,Atlanta,Branch,Normal
34.06999999999999,8709.77,1.0,Philadelphia,Branch,Fraud
492.06,857.8999999999996,1.0,Fresno,Online,Normal
842.01,509.4499999999998,1.0,Virginia Beach,Online,Fraud
73.55000000000001,2812.06,1.0,Atlanta,ATM,Normal
760.53,6179.91,1.0,Phoenix,Online,Fraud
273.08,6609.3,1.0,Houston,Branch,Suspicious
371.69,3484.32,1.0,San Francisco,Branch,Fraud
218.96,754.21,1.0,Seattle,ATM,Fraud
227.39,751.0900000000001,1.0,Atlanta,Online,Normal
237.99,8510.09,1.0,Kansas City,Branch,Suspicious
186.6,1508.7200000000003,1.0,Washington,Online,Fraud
341.15,511.3699999999999,1.0,San Jose,Online,Fraud
434.58,12648.32,1.0,Memphis,ATM,Suspicious
312.88,233.21000000000004,1.0,Portland,Branch,Fraud
75.15,1092.92,1.0,Boston,ATM,Normal
23.30000000000001,6711.15,1.0,Los Angeles,ATM,Suspicious
47.379999999999995,459.3699999999999,1.0,Seattle,Online,Fraud
512.81,6994.34,1.0,Sacramento,Branch,Fraud
488.15,7071.09,1.0,Louisville,Branch,Suspicious
12.819999999999993,9045.19,1.0,Fort Worth,ATM,Normal
66.9,5238.71,4.0,Charlotte,Online,Normal
535.91,9642.12,1.0,Las Vegas,Online,Suspicious
270.72,6263.96,1.0,Washington,Online,Fraud
97.98000000000002,7460.33,1.0,Denver,Branch,Normal
196.08,4233.82,1.0,San Francisco,Online,Fraud
251.18,8303.9,1.0,San Jose,ATM,Fraud
44.52000000000004,314.27999999999975,1.0,El Paso,Online,Normal
178.87,5241.23,1.0,Baltimore,Online,Normal
1176.28,323.6899999999996,5.0,Kansas City,ATM,Suspicious
386.68,6863.06,1.0,New York,Branch,Suspicious
167.14,3877.73,1.0,Denver,Online,Normal
345.22,4046.58,1.0,Fresno,Branch,Normal
74.85,2409.73,1.0,Raleigh,ATM,Fraud
671.73,5211.88,1.0,Washington,Branch,Fraud
255.04,6217.86,1.0,Seattle,ATM,Fraud
45.77000000000001,5978.12,1.0,Philadelphia,Online,Fraud
329.69,1671.6599999999999,1.0,San Antonio,Online,Fraud
362.04,8421.88,2.0,Philadelphia,Branch,Fraud
11.920000000000016,14611.9,1.0,San Diego,Branch,Fraud
47.41999999999999,8253.52,1.0,San Diego,ATM,Fraud
35.99000000000001,4489.79,1.0,Miami,Branch,Suspicious
151.19,11903.82,1.0,New York,Branch,Suspicious
242.62,483.02000000000044,1.0,San Francisco,Online,Fraud
48.72,816.0799999999999,1.0,Virginia Beach,Branch,Fraud
43.46000000000001,578.0599999999995,1.0,Boston,ATM,Normal
1036.2099999999998,477.3000000000002,1.0,Omaha,Online,Fraud
443.78999999999996,3133.8499999999995,1.0,Las Vegas,ATM,Suspicious
365.14,5894.09,1.0,Dallas,Online,Normal
757.41,9532.42,1.0,Los Angeles,ATM,Suspicious
20.54000000000002,5327.03,1.0,Fort Worth,Branch,Normal
475.36,2000.6,1.0,Phoenix,ATM,Fraud
34.74000000000001,6827.57,1.0,San Francisco,ATM,Fraud
689.54,1633.7600000000002,1.0,Oklahoma City,Branch,Suspicious
211.18,4069.17,1.0,Washington,ATM,Fraud
211.36,7943.47,1.0,Fort Worth,Branch,Normal
744.41,8842.47,1.0,Houston,Online,Suspicious
61.43000000000001,1882.77,1.0,Phoenix,Online,Fraud
167.44,12526.71,1.0,Mesa,Branch,Suspicious
361.46,4737.84,1.0,Nashville,Online,Suspicious
378.85,2300.53,1.0,Virginia Beach,Branch,Fraud
241.11,12385.05,1.0,Columbus,Branch,Normal
131.93,4547.06,1.0,Fort Worth,Branch,Normal
20.28000000000003,2047.83,1.0,Oklahoma City,Online,Suspicious
415.88,10008.33,1.0,San Diego,Branch,Fraud
49.99000000000001,2299.64,1.0,Omaha,ATM,Fraud
1221.65,243.92000000000007,1.0,Denver,Online,Normal
100.66,14473.33,1.0,Dallas,Branch,Normal
485.54,1533.3199999999997,1.0,Louisville,Online,Suspicious
321.15,7005.05,1.0,Los Angeles,Branch,Suspicious
711.3,955.3999999999996,1.0,San Jose,Branch,Fraud
12.230000000000018,7844.88,1.0,Houston,ATM,Suspicious
350.94,221.5600000000004,1.0,Colorado Springs,ATM,Normal
301.85,6586.19,1.0,Columbus,Online,Normal
29.339999999999975,3944.82,1.0,Louisville,Online,Suspicious
231.71,1127.98,1.0,Raleigh,Branch,Fraud
179.43,2626.63,1.0,Oklahoma City,ATM,Suspicious
36.70999999999998,6459.38,1.0,Jacksonville,Branch,Suspicious
138.12,1649.69,1.0,Los Angeles,Branch,Suspicious
233.24,6939.23,1.0,Louisville,ATM,Suspicious
609.14,9033.87,1.0,Tucson,ATM,Fraud
436.64,14365.18,1.0,Los Angeles,Branch,Suspicious
870.4300000000001,10115.18,1.0,Los Angeles,Branch,Suspicious
354.4,7358.65,1.0,Chicago,ATM,Normal
22.629999999999995,4438.03,1.0,Kansas City,Online,Suspicious
182.19,1176.1,1.0,Mesa,Branch,Suspicious
126.81,5427.98,1.0,Philadelphia,Branch,Fraud
288.17,3653.11,1.0,Virginia Beach,Online,Fraud
118.76999999999995,2104.82,1.0,Atlanta,Branch,Normal
651.82,1802.77,1.0,Indianapolis,ATM,Suspicious
66.65000000000003,3559.96,1.0,Detroit,ATM,Normal
98.53,3564.8,1.0,Denver,Branch,Normal
138.94999999999996,6752.92,1.0,Washington,Online,Fraud
33.889999999999986,1444.75,1.0,Nashville,Branch,Suspicious
23.70999999999998,10788.89,1.0,Atlanta,Branch,Normal
1830.0,2235.7,1.0,San Antonio,Online,Fraud
26.060000000000002,12893.63,1.0,San Diego,ATM,Fraud
17.069999999999993,2798.15,1.0,Los Angeles,Branch,Suspicious
703.89,3583.67,1.0,San Antonio,Online,Fraud
1271.9,2120.8,1.0,Houston,ATM,Suspicious
26.55000000000001,3085.38,1.0,Houston,ATM,Suspicious
147.4,6797.71,1.0,San Jose,Branch,Fraud
202.11,746.4700000000003,1.0,Memphis,ATM,Suspicious
308.42,5427.81,1.0,Nashville,Branch,Suspicious
11.180000000000007,7467.3,1.0,Miami,ATM,Suspicious
294.15,6362.16,1.0,Fresno,Online,Normal
29.579999999999984,8345.26,1.0,Colorado Springs,Branch,Normal
139.45,1305.7600000000002,1.0,Boston,Online,Normal
432.63,13648.36,1.0,Colorado Springs,ATM,Normal
131.43,1337.5,1.0,Charlotte,Online,Normal
516.72,2015.69,1.0,Mesa,ATM,Suspicious
121.82,8354.54,3.0,Colorado Springs,Online,Normal
374.5,1671.5100000000002,1.0,San Francisco,Branch,Fraud
166.13,11822.53,1.0,Omaha,ATM,Fraud
626.9,587.1099999999997,1.0,Chicago,ATM,Normal
466.85,5422.53,1.0,Austin,Branch,Normal
788.84,1913.73,1.0,Phoenix,Online,Fraud
873.6500000000001,12139.83,1.0,Oklahoma City,Online,Suspicious
525.28,4693.6,1.0,Colorado Springs,ATM,Normal
110.17000000000002,464.1999999999998,1.0,Raleigh,ATM,Fraud
632.69,4363.74,1.0,Denver,ATM,Normal
124.35,3319.76,1.0,Oklahoma City,ATM,Suspicious
43.849999999999994,4356.98,1.0,Fresno,ATM,Normal
283.81,1519.35,1.0,San Diego,Branch,Fraud
168.53,5962.58,1.0,San Francisco,ATM,Fraud
218.59,6699.23,1.0,Denver,Branch,Normal
132.84,822.7299999999996,1.0,Oklahoma City,ATM,Suspicious
157.37,13964.31,1.0,Dallas,Branch,Normal
144.77,867.3199999999997,1.0,Albuquerque,Online,Normal
643.22,1035.8599999999997,1.0,Atlanta,ATM,Normal
1392.54,13347.69,1.0,El Paso,Branch,Normal
208.07,8478.9,1.0,Oklahoma City,Online,Suspicious
94.30000000000001,11088.95,1.0,Phoenix,Branch,Fraud
295.5,6280.66,1.0,Mesa,ATM,Suspicious
30.230000000000018,481.1300000000001,1.0,Austin,ATM,Normal
112.05000000000001,1122.8799999999997,1.0,Phoenix,ATM,Fraud
180.24,8431.23,1.0,Phoenix,Branch,Fraud
13.70999999999998,8342.79,1.0,Denver,Online,Normal
96.54000000000002,7182.22,1.0,New York,Branch,Suspicious
79.35,1692.15,1.0,Los Angeles,Online,Suspicious
101.04000000000002,1695.5699999999997,1.0,San Antonio,ATM,Fraud
74.42000000000002,6264.21,1.0,El Paso,Online,Normal
39.660000000000025,8497.34,1.0,Virginia Beach,Branch,Fraud
99.35999999999999,1272.12,1.0,Seattle,ATM,Fraud
123.85,3959.62,1.0,Las Vegas,Online,Suspicious
426.93,476.1899999999996,1.0,Omaha,ATM,Fraud
133.73,1872.2200000000003,1.0,San Jose,Online,Fraud
222.39,3117.39,1.0,Virginia Beach,Online,Fraud
215.94,1841.69,1.0,Virginia Beach,Online,Fraud
6.300000000000011,7697.68,5.0,Columbus,Branch,Normal
826.23,7580.59,1.0,Colorado Springs,ATM,Normal
416.37,7936.91,1.0,Columbus,Online,Normal
131.46,6642.33,1.0,Charlotte,Branch,Normal
202.86,7642.25,1.0,Memphis,Branch,Suspicious
268.39,136.73999999999978,1.0,Miami,ATM,Suspicious
194.85,319.84000000000015,4.0,Jacksonville,Online,Suspicious
137.35,12662.66,1.0,Sacramento,Online,Fraud
712.75,8126.06,1.0,Philadelphia,Branch,Fraud
353.82,705.75,1.0,Milwaukee,ATM,Suspicious
507.25,5331.57,1.0,Washington,Branch,Fraud
212.74,7645.47,1.0,Seattle,Branch,Fraud
364.42,8119.73,1.0,Colorado Springs,ATM,Normal
195.12,6101.15,1.0,Louisville,ATM,Suspicious
230.61,2561.42,1.0,Raleigh,Branch,Fraud
739.28,11905.64,1.0,Tucson,Branch,Fraud
390.35,7095.88,1.0,Omaha,ATM,Fraud
242.03,4382.73,1.0,Dallas,Online,Normal
242.39,1328.73,1.0,San Antonio,ATM,Fraud
135.02999999999997,1278.0,1.0,San Francisco,ATM,Fraud
83.5,1749.79,5.0,Dallas,Branch,Normal
193.54,2929.51,1.0,Oklahoma City,Branch,Suspicious
617.36,8926.38,1.0,Kansas City,Branch,Suspicious
775.23,5977.59,1.0,Albuquerque,Online,Normal
266.57,7676.92,1.0,El Paso,ATM,Normal
153.4,4657.7,1.0,Mesa,ATM,Suspicious
946.94,5579.11,1.0,Charlotte,Branch,Normal
5.1200000000000045,3293.01,1.0,New York,Branch,Suspicious
119.11000000000001,7998.25,1.0,Detroit,ATM,Normal
1096.6999999999998,1093.8900000000003,1.0,Colorado Springs,Online,Normal
119.72,3435.34,1.0,Tucson,Branch,Fraud
107.4,344.0699999999997,1.0,Virginia Beach,Online,Fraud
115.92000000000002,3897.17,1.0,Raleigh,ATM,Fraud
438.04,5358.95,1.0,Philadelphia,ATM,Fraud
677.29,627.79,1.0,Houston,Online,Suspicious
296.0,7418.82,1.0,Las Vegas,Branch,Suspicious
299.09,5615.26,1.0,Boston,Branch,Normal
461.52,1995.1800000000003,1.0,Denver,Branch,Normal
100.51999999999998,453.3900000000003,1.0,Las Vegas,ATM,Suspicious
85.35,2173.76,1.0,Washington,ATM,Fraud
79.75999999999999,6452.14,1.0,Raleigh,Branch,Fraud
778.49,7713.67,1.0,Omaha,Online,Fraud
386.38,5528.36,1.0,Phoenix,Online,Fraud
165.25,9939.94,1.0,Sacramento,Online,Fraud
14.29000000000002,7016.99,1.0,Los Angeles,ATM,Suspicious
232.79,2661.3,1.0,Indianapolis,Branch,Suspicious
1237.5599999999997,9410.17,1.0,Austin,Branch,Normal
92.29000000000002,2026.3199999999997,1.0,Albuquerque,Branch,Normal
293.97,7371.85,1.0,Phoenix,Branch,Fraud
136.32,264.8299999999999,1.0,Miami,Online,Suspicious
251.06,10001.66,1.0,Colorado Springs,Online,Normal
50.170000000000016,7752.14,1.0,Sacramento,ATM,Fraud
21.399999999999977,9594.11,1.0,Fresno,Branch,Normal
73.28,1329.4099999999999,1.0,Boston,Branch,Normal
70.23000000000002,11624.93,1.0,Memphis,ATM,Suspicious
689.29,168.84000000000015,1.0,El Paso,ATM,Normal
745.03,160.5699999999997,1.0,Fort Worth,Online,Normal
54.610000000000014,7135.64,1.0,Milwaukee,ATM,Suspicious
54.05000000000001,469.1400000000003,1.0,Louisville,Branch,Suspicious
107.47,7517.5,1.0,Austin,Online,Normal
611.11,919.8400000000001,4.0,Detroit,ATM,Normal
219.63,8013.63,1.0,Charlotte,ATM,Normal
188.7,5077.06,1.0,New York,Branch,Suspicious
93.51999999999998,2791.2,1.0,Philadelphia,Online,Fraud
275.92,1777.38,1.0,Nashville,Branch,Suspicious
376.79,7749.14,1.0,Milwaukee,Branch,Suspicious
8.980000000000018,4516.76,1.0,Detroit,Online,Normal
697.32,2016.02,1.0,Atlanta,Online,Normal
17.44999999999999,1959.52,1.0,Omaha,ATM,Fraud
302.16,3876.61,5.0,Kansas City,Online,Suspicious
442.74,1790.27,1.0,San Diego,Branch,Fraud
623.9,711.4700000000003,1.0,San Jose,ATM,Fraud
445.41,12154.66,3.0,Fresno,ATM,Normal
63.41,1546.2200000000003,1.0,Fort Worth,ATM,Normal
346.85,7208.15,1.0,Kansas City,ATM,Suspicious
71.94999999999999,9267.32,1.0,Omaha,Online,Fraud
7.5,6485.78,1.0,Dallas,Online,Normal
206.46,3984.38,1.0,Virginia Beach,ATM,Fraud
423.11,412.77999999999975,1.0,Columbus,ATM,Normal
35.839999999999975,4795.65,1.0,Colorado Springs,Online,Normal
88.6,246.5699999999997,1.0,Raleigh,Branch,Fraud
